robot_beliefA,robot_actionA,informant_actionA,informant_beliefA,robot_beliefB,robot_actionB,informant_actionB,informant_beliefB,Robot Opinion,Robot Goal Status,Human Goal Status
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I trusted you and your suggestion was correct. Thank you!,B,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I trusted you and your suggestion was correct. Thank you!,B,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I trusted you and your suggestion was correct. Thank you!,B,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I trusted you, but you tricked me.",B,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I was right not to trust you.,A,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,I trusted you and your suggestion was correct. Thank you!,B,A
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
0.4,0.4655555555555555,0.4,0.5666666666666667,0.6,0.5344444444444444,0.6,0.4333333333333333,"I didn't trust you, but I was wrong. Sorry.",A,B
